laser_path,audio_path,text
examples/channel_x/utt1.wav,examples/channel_clean/utt1.wav,"the scale of the world's political system on a scale which by modern standards is shocking. There we can leave it. Next time I'll go on to look at another aspect of order, the small-scale forms of popular protest, demonstrations and riots. Thank you."
examples/channel_y/utt1.wav,examples/channel_clean/utt1.wav,"the scale of the world's political system on a scale which by modern standards is shocking. There we can leave it. Next time I'll go on to look at another aspect of order, the small-scale forms of popular protest, demonstrations and riots. Thank you."
examples/channel_x/utt2.wav,examples/channel_clean/utt2.wav,"It was a society in which the gentry rulers regarded their social inferiors with a great deal of condescension. The language they used to describe them says it all, the meaner sort of people, the clowns, the ruder sort, the rabble, and they expected their deference. Men were expected to uncover their heads before their social superiors, do them hat honor as it was called. Men were expected to"
examples/channel_y/utt2.wav,examples/channel_clean/utt2.wav,"It was a society in which the gentry rulers regarded their social inferiors with a great deal of condescension. The language they used to describe them says it all, the meaner sort of people, the clowns, the ruder sort, the rabble, and they expected their deference. Men were expected to uncover their heads before their social superiors, do them hat honor as it was called. Men were expected to"
examples/channel_x/utt3.wav,examples/channel_clean/utt3.wav,"And yet to characterize all or even most forms of popular disturbance in early modern England in this way is profoundly misleading. A generation of research on popular protest has shown just how inadequate that stereotype is, and the resulting shift of perception amongst historians is reflected in the kind of language they now use to describe these things. People nowadays talk little about the mob. They talk more about ."
examples/channel_y/utt3.wav,examples/channel_clean/utt3.wav,"And yet to characterize all or even most forms of popular disturbance in early modern England in this way is profoundly misleading. A generation of research on popular protest has shown just how inadequate that stereotype is, and the resulting shift of perception amongst historians is reflected in the kind of language they now use to describe these things. People nowadays talk little about the mob. They talk more about ."
examples/channel_x/utt4.wav,examples/channel_clean/utt4.wav,"The most obvious case of that was in the case of food riots. These tended to occur in years of dearth, bad harvest years when grain was in short supply and the prices of food rocketed, years like 1587, 1594 to 7, 1622 to 3, 1631, 1647 to 8, and so on. ."
examples/channel_y/utt4.wav,examples/channel_clean/utt4.wav,"The most obvious case of that was in the case of food riots. These tended to occur in years of dearth, bad harvest years when grain was in short supply and the prices of food rocketed, years like 1587, 1594 to 7, 1622 to 3, 1631, 1647 to 8, and so on. ."
examples/channel_x/utt5.wav,examples/channel_clean/utt5.wav,"These riots also occurred in years of industrial depression when rural industrial workers in particular, who were dependent upon the market for most of their food supplies, found that they lacked the income to supply themselves because their employers were no longer able to put out work to them. The 1620s saw some very bad industrial depressions of that kind. In either circumstance, a bad harvest or a year of industrial slump,"
examples/channel_y/utt5.wav,examples/channel_clean/utt5.wav,"These riots also occurred in years of industrial depression when rural industrial workers in particular, who were dependent upon the market for most of their food supplies, found that they lacked the income to supply themselves because their employers were no longer able to put out work to them. The 1620s saw some very bad industrial depressions of that kind. In either circumstance, a bad harvest or a year of industrial slump,"
